ds,yhat,yhat_lower,yhat_upper
2023-09-03,425.1996879186242,-311.92540271524615,1167.683771456087
2023-09-04,481.74513612590425,-170.8961849067741,1206.3307967982664
2023-09-05,431.58132869241086,-299.2022741737871,1167.8369279569488
2023-09-06,423.2533630089654,-328.35093985382764,1172.474180528733
2023-09-07,437.94342503635244,-279.3525899241508,1113.4794666233095
2023-09-08,464.13707191003454,-235.8344862749949,1147.9656231569647
2023-09-09,526.038701739206,-222.64693680632828,1271.163747508733
2023-09-10,425.35475394152695,-286.00872425212907,1128.5109871000022
2023-09-11,481.9002021488854,-245.44695327236963,1192.6534022219248
2023-09-13,423.40842903181175,-291.2141354284231,1095.3375705185963
2023-09-14,438.0984910591282,-240.94310516820292,1141.8270561087893
2023-09-15,464.29213793294804,-225.81907512127248,1156.184180004225
2023-09-16,526.1937677622399,-230.4129662074192,1224.9852230524773
2023-09-17,425.50981996442977,-248.71714487485858,1121.567063287877
2023-09-18,482.0552681385109,-291.0713579799404,1164.554256908019
2023-09-19,431.891460671999,-305.6803331343726,1124.36189369952
2023-09-21,438.2535569495203,-238.97085770682773,1144.8489544852928
2023-09-22,464.4472037899017,-316.88235322580647,1166.905601600018
2023-09-23,526.348833586147,-203.05714109156037,1249.3042194960174
2023-09-24,425.6648857552566,-322.92211434985205,1165.9575868016552
2023-09-25,482.2103339294534,-235.05746091848877,1231.6752168999374
2023-09-26,432.0465264626721,-346.9385952472646,1131.4818554349774
2023-09-28,438.40862274045116,-305.0255540005039,1142.6719550630514
2023-09-29,464.60226958056137,-202.48948091033088,1194.474637567629
2023-09-30,526.503899377079,-168.87582276909154,1265.0326027841436
2023-10-01,425.8199515460666,-275.0479785871972,1148.0938944525763
2023-10-02,482.36539972976317,-292.4555073528077,1186.5151448343304
2023-10-03,432.2015922723191,-294.8348593592297,1136.2372359641022
2023-10-04,423.87362656577835,-332.1949804809932,1181.4681157962752
2023-10-05,438.5636885693302,-236.40963432977816,1181.0604142080101
2023-10-06,464.75733541901184,-282.61769008613356,1182.674804390709
2023-10-07,526.6589652247545,-199.71385839522188,1238.2330615658893
2023-10-08,425.9750174034144,-288.1157540678671,1130.5484373860052
2023-10-09,482.5204655869579,-194.69698844260927,1245.8351482074856
2023-10-10,432.3566581297988,-291.60303447185726,1120.4141073250148
2023-10-11,424.02869241312055,-300.0710260977374,1134.0187383436698
2023-10-12,438.71875440724153,-218.02822213461937,1164.927648296413
2023-10-13,464.9124012472708,-244.65291890608836,1170.3298885773465
2023-10-14,526.8140310435217,-132.25067530261796,1274.0854119617113
2023-10-15,426.1300832126394,-286.4579296809733,1152.7997700685617
2023-10-16,482.67553138659684,-273.0188985430446,1205.089673443346
2023-10-17,432.5117239196892,-319.1317146529037,1171.5180196505924
2023-10-18,424.18375820334677,-250.9410374539175,1204.9850024624986
